prior_scenario,tau_mean,tau_median,tau_lower,tau_upper,I2_mean,I2_median,I2_lower,I2_upper,scenario,n,effect_size
P2,0.16622280168918593,0.11992028172487204,0.005291355846301154,0.6002119016002364,4.403923453833429,1.4419566436941509,0.0028319623922716283,27.54872273528825,P2 - Low heterogeneity,10,0.2
P2,0.15977390211511014,0.11667639187995871,0.005164830981719734,0.566719782422676,4.066364862018402,1.3581380490326933,0.0026921722712864517,25.08091982243223,P2 - Low heterogeneity,12,0.2
P2,0.15715300711089017,0.11460676391100849,0.005095988845878195,0.5583913675385017,3.9322954215829817,1.3064605443526551,0.0026033882266673484,24.37377316924504,P2 - Low heterogeneity,14,0.2
P2,0.15159269706850198,0.11135795223282562,0.004948774210760589,0.5343199703175154,3.679799264560807,1.2312512499222772,0.00244902900987819,22.744591427227423,P2 - Low heterogeneity,16,0.2
P2,0.14673095540659586,0.10879246332633541,0.004891979588450859,0.5108507591001661,3.4677327602679093,1.1760403047615073,0.0023921014285170415,21.265647715382816,P2 - Low heterogeneity,18,0.2
P2,0.14133631105534242,0.10535598274829412,0.004708872931255894,0.4874419068969865,3.226627400327681,1.10415669520178,0.0022172973495070357,19.592914034997587,P2 - Low heterogeneity,20,0.2
P2,0.13422172564049903,0.10103835135018051,0.00454657353267701,0.4576200465146782,2.9355737452869817,1.0180173192276465,0.0020728113521984175,17.70374763620453,P2 - Low heterogeneity,22,0.2
P2,0.13502400123855784,0.10062036405412605,0.004525272541357738,0.4669730890583463,2.9763844062213938,1.0086123246551453,0.002056274347752525,18.23615750029187,P2 - Low heterogeneity,24,0.2
P2,0.13077122229930177,0.09812734188102984,0.00440744603641938,0.4477658118527796,2.79337428061723,0.9599893428187751,0.0019475353712192917,16.925442363291943,P2 - Low heterogeneity,26,0.2
P2,0.12218500378088631,0.09221538112780117,0.0041657454215447655,0.41543215690964486,2.4553034009437105,0.8487176109968839,0.0017417484329396381,14.807715300155394,P2 - Low heterogeneity,28,0.2
P2,0.1244584363957002,0.09370547228478404,0.004212303656820951,0.424659926244338,2.5553061791053793,0.8756317969923335,0.001782314620423059,15.516623656492348,P2 - Low heterogeneity,30,0.2
P3,0.26632650623623577,0.20087991167907376,0.009021782230662644,0.9067187609008548,9.24939204532375,4.002888666254669,0.008277730943180845,47.59990905932924,P3 - Moderate heterogeneity,6,0.8
P3,0.24110784600431673,0.18274023327674577,0.008277099197364012,0.81578609535041,7.838559301147926,3.3176238648221683,0.006983017006346892,41.5339030021144,P3 - Moderate heterogeneity,8,0.8
P3,0.2227673688986562,0.16936213358173224,0.0076044516562620455,0.7510542453848992,6.879247952683951,2.83832413278855,0.005851207013584603,37.2964167754631,P3 - Moderate heterogeneity,10,0.8
P3,0.21225809561276593,0.16245714864785665,0.007366006802564832,0.7079901780188762,6.317584208669996,2.602376325821966,0.005460948731578219,34.32107444245883,P3 - Moderate heterogeneity,12,0.8
P3,0.2068464449772276,0.1576994303457805,0.007076668112647419,0.6943903669304432,6.033113015185326,2.44590053483755,0.005038286614663393,33.22155647240075,P3 - Moderate heterogeneity,14,0.8
P3,0.19801889563396766,0.1514107942642441,0.006891984787784545,0.6628932192273332,5.609593288909501,2.254465651339063,0.0047587055277411435,31.174266178421604,P3 - Moderate heterogeneity,16,0.8
P3,0.1909904551530772,0.14669554969862542,0.006631129359107131,0.6349314293689076,5.287420990483071,2.119707676091615,0.0043956265204010345,29.413155329324603,P3 - Moderate heterogeneity,18,0.8
P3,0.1826869603072733,0.14045542668003466,0.006348243944864693,0.6059542847805056,4.894279616121646,1.947369865940747,0.0040368708542731615,27.31994701130713,P3 - Moderate heterogeneity,20,0.8
P3,0.17309473973973488,0.13354067778587939,0.006106428876094989,0.572476481493003,4.471138948920444,1.7661233408079358,0.0037334994441227394,25.150327378111566,P3 - Moderate heterogeneity,22,0.8
P3,0.1723486083879728,0.13153667016774068,0.005932047374694623,0.5772610228122667,4.448488623858149,1.7133820912278699,0.0035477769103435357,25.38841942106259,P3 - Moderate heterogeneity,24,0.8
P3,0.16680330208887528,0.12786651777796115,0.005821733142960777,0.5553424611021014,4.19178047986519,1.620907004854031,0.0034097769528011832,23.856208267248647,P3 - Moderate heterogeneity,26,0.8
P3,0.1549219027320784,0.1184610816611087,0.005374429274378741,0.5180944561226095,3.6871861516529822,1.3937418242122186,0.0029042854279045078,21.285254791871676,P3 - Moderate heterogeneity,28,0.8
P3,0.15753335483807696,0.12038496584765873,0.005465678179987151,0.5264636438575687,3.8131994372135205,1.437803426997207,0.002999905611141121,22.013406713299062,P3 - Moderate heterogeneity,30,0.8
P3,0.2644603533490455,0.20004996699162514,0.008962989762288008,0.8963316688553478,9.15528303540312,3.9722679796844576,0.008167952276725735,47.013990549028904,P3 - Moderate heterogeneity,6,0.5
P3,0.23966487714123175,0.1821437290651751,0.008219837792899807,0.8079911341687195,7.766979003945014,3.2952647013150433,0.006868013533018107,41.06851098923877,P3 - Moderate heterogeneity,8,0.5
P3,0.2217066158404417,0.16882588449154304,0.007602693170452638,0.7460296046176634,6.826557495230273,2.8226207737888576,0.005874650300936788,36.9660216082428,P3 - Moderate heterogeneity,10,0.5
P3,0.2113714972310685,0.16210440727557218,0.00730667636369538,0.7038390693344885,6.273505599582068,2.592377740590588,0.005376765811795776,34.04111062857824,P3 - Moderate heterogeneity,12,0.5
P3,0.20576315299852607,0.15706508487564094,0.0071429436579885115,0.6893673863190719,5.981892924652343,2.4283032940849685,0.005123811943094162,32.92788004970089,P3 - Moderate heterogeneity,14,0.5
P3,0.1973908111864176,0.1510240369935888,0.006867700595743046,0.6597757507193811,5.5762932545384984,2.243177501237139,0.004740020761813384,30.925500366746732,P3 - Moderate heterogeneity,16,0.5
P3,0.1903302132559071,0.14631056919919044,0.006623172344973288,0.6324062683813215,5.255014755444212,2.109065723206069,0.004383638155985092,29.216773956746746,P3 - Moderate heterogeneity,18,0.5
P3,0.1821791919600731,0.14034629911088445,0.006338374567394819,0.6026786409617396,4.868341575003623,1.9442448918699036,0.00402919343515142,27.109186567120613,P3 - Moderate heterogeneity,20,0.5
P3,0.17257800594501613,0.1332421676420001,0.006091532988768037,0.569226128751165,4.448652760855464,1.7579682904694687,0.00373029257101629,24.98334732740499,P3 - Moderate heterogeneity,22,0.5
